Creative_Type,Director,Distributor,IMDB_Rating,IMDB_Votes,MPAA_Rating,Major_Genre,Production_Budget,Release_Date,Rotten_Tomatoes_Rating,Running_Time_min,Source,Title,US_DVD_Sales,US_Gross,Worldwide_Gross
,,,6.5,4800.0,,,5000000.0,11-Mar-76,68.0,,,Robin and Marian,,8000000.0,8000000.0
Contemporary Fiction,Ron Howard,Walt Disney Pictures,6.6,38524.0,R,Action,70000000.0,8-Nov-96,70.0,121.0,Original Screenplay,Ransom,,136492681.0,308700000.0
,Roman Polanski,,8.1,50860.0,,,3200000.0,12-Jun-68,98.0,,,Rosemary's Baby,,33395426.0,33395426.0
,Alfred Hitchcock,MGM,8.4,35429.0,,Drama,1288000.0,1940-01-01,100.0,,Based on Book/Short Story,Rebecca,,6000000.0,6000000.0
Historical Fiction,Kevin Reynolds,Warner Bros.,6.7,54480.0,PG-13,Adventure,50000000.0,14-Jun-91,56.0,,Traditional/Legend/Fairytale,Robin Hood: Prince of Thieves,,165493908.0,390500000.0
Contemporary Fiction,,New Line,,,R,Action,7500000.0,23-Feb-96,,100.0,Original Screenplay,Rumble in the Bronx,,32281907.0,36238752.0
Dramatization,Michael Caton-Jones,MGM,6.8,15630.0,R,Drama,28000000.0,7-Apr-95,71.0,,Based on Real Life Events,Rob Roy,,31390587.0,31390587.0
Dramatization,Martin Scorsese,MGM,8.4,90015.0,Not Rated,Drama,18000000.0,14-Nov-80,98.0,,Based on Real Life Events,Raging Bull,,23380203.0,23380203.0
Historical Fiction,,MGM,7.5,6625.0,R,Drama,9200000.0,29-Dec-95,95.0,,Based on Play,Richard III,,2684904.0,4204857.0
Contemporary Fiction,Brian De Palma,Universal,5.7,5135.0,,Thriller/Suspense,11000000.0,7-Aug-92,53.0,,Original Screenplay,Raising Cain,,21171695.0,21171695.0
Science Fiction,Paul Verhoeven,Orion Pictures,7.6,52898.0,,Action,13000000.0,17-Jul-87,88.0,,Original Screenplay,RoboCop,,53424681.0,53424681.0
Science Fiction,,Orion Pictures,3.4,13310.0,,Action,22000000.0,5-Nov-93,,,Original Screenplay,RoboCop 3,,10696210.0,10696210.0
Contemporary Fiction,Donald Petrie,Warner Bros.,4.7,12687.0,PG,Comedy,40000000.0,21-Dec-94,25.0,,Original Screenplay,Ri¢hie Ri¢h,,38087756.0,38087756.0
Historical Fiction,Woody Allen,Orion Pictures,7.5,10839.0,,Comedy,16000000.0,30-Jan-87,95.0,,Original Screenplay,Radio Days,,14792779.0,14792779.0
Historical Fiction,Richard Donner,Sony Pictures,6.5,6210.0,,Drama,35000000.0,21-Feb-92,43.0,,Original Screenplay,Radio Flyer,,4651977.0,4651977.0
,Quentin Tarantino,Miramax,8.4,212985.0,R,,1200000.0,23-Oct-92,96.0,,,Reservoir Dogs,18806836.0,2832029.0,2832029.0
Historical Fiction,Steven Spielberg,Paramount Pictures,8.7,242661.0,PG,Adventure,20000000.0,12-Jun-81,,,Original Screenplay,Raiders of the Lost Ark,19608618.0,245034358.0,386800358.0
,Howard Hawks,,7.8,10629.0,,,3000000.0,1948-01-01,100.0,,,Red River,,9012000.0,9012000.0
Historical Fiction,Warren Beatty,Paramount Pictures,7.4,8455.0,,Drama,33500000.0,4-Dec-81,94.0,,Based on Book/Short Story,Reds,,50000000.0,50000000.0
Historical Fiction,,Lionsgate,7.7,14545.0,R,Drama,10000000.0,11-Jun-99,,,Original Screenplay,Le Violon rouge,,10019109.0,10019109.0
Fantasy,Richard Fleischer,MGM,4.4,11896.0,,Action,17900000.0,28-Jun-85,20.0,,Based on Book/Short Story,Red Sonja,,6905861.0,6905861.0
Science Fiction,Richard Marquand,20th Century Fox,,,PG,Adventure,32500000.0,25-May-83,,,Original Screenplay,Star Wars Ep. VI: Return of the Jedi,12356425.0,309205079.0,572700000.0
,,Kino International,2.3,236.0,PG-13,Drama,15000000.0,6-Feb-04,,,,The Return,,501752.0,2658490.0
Contemporary Fiction,,Lavender House Films,,,Not Rated,Drama,10000.0,14-Aug-08,,87.0,Original Screenplay,The Rise and Fall of Miss Thang,,401.0,401.0
Factual,Michael Moore,Warner Bros.,7.5,14883.0,,Documentary,140000.0,20-Dec-89,100.0,,Based on Real Life Events,Roger & Me,,6706368.0,6706368.0
Dramatization,Philip Kaufman,Warner Bros.,7.9,24275.0,,Action,27000000.0,21-Oct-83,97.0,,Based on Book/Short Story,The Right Stuff,,21500000.0,21500000.0
,,20th Century Fox,7.1,41265.0,,Musical,1200000.0,26-Sep-75,77.0,,,The Rocky Horror Picture Show,,139876417.0,139876417.0
Contemporary Fiction,,United Artists,5.8,14085.0,,Action,10000000.0,19-May-89,44.0,,Original Screenplay,Road House,,30050028.0,30050028.0
Contemporary Fiction,,Gramercy,6.3,6537.0,R,Drama,10000000.0,4-Feb-94,24.0,,Original Screenplay,Romeo Is Bleeding,,3275585.0,3275585.0
Contemporary Fiction,,Off-Hollywood Distribution,4.2,232.0,R,Drama,2000000.0,7-Jul-07,,,Original Screenplay,Rockaway,,0.0,0.0
,John G. Avildsen,MGM,4.0,84.0,,,1000000.0,21-Nov-76,,,,Rocky,,117235147.0,225000000.0
Fantasy,,Lorimar Motion Pictures,5.1,4661.0,,Horror,6200000.0,15-Jan-88,,,,Return of the Living Dead Part II,,9205924.0,9205924.0
Contemporary Fiction,,Halestone,5.5,449.0,PG,Comedy,500000.0,31-Jan-03,64.0,,Original Screenplay,The R.M.,,1111615.0,1111615.0
Contemporary Fiction,Penny Marshall,Walt Disney Pictures,5.9,7650.0,PG-13,Comedy,40000000.0,3-Jun-94,,,Original Screenplay,Renaissance Man,,24172899.0,24172899.0
Contemporary Fiction,George P. Cosmatos,Sony/TriStar,5.8,38548.0,R,Action,44000000.0,22-May-85,30.0,,Based on Book/Short Story,Rambo: First Blood Part II,,150415432.0,300400000.0
Contemporary Fiction,,Sony/TriStar,4.9,31551.0,,Action,58000000.0,25-May-88,36.0,,Based on Book/Short Story,Rambo III,,53715611.0,188715611.0
Contemporary Fiction,Baz Luhrmann,20th Century Fox,6.5,78.0,PG-13,Drama,14500000.0,1-Nov-96,,120.0,Based on Play,Romeo+Juliet,,46338728.0,147542381.0
,Stephen Fry,,,,,,20000000.0,31-Dec-07,,,,Ramanujan,,0.0,0.0
Contemporary Fiction,Barry Levinson,MGM,8.0,106163.0,,Comedy,25000000.0,16-Dec-88,87.0,,Original Screenplay,Rain Man,,172825435.0,412800000.0
,Kevin Reynolds,,6.1,2081.0,,,20000000.0,11-Sep-94,,,,Rapa Nui,,305070.0,305070.0
,,,5.9,228.0,,,17000000.0,1981-01-01,,,,Roar,,2000000.0,2000000.0
,,,6.7,2913.0,,,5000000.0,16-Sep-53,38.0,,,The Robe,,36000000.0,36000000.0
Contemporary Fiction,Michael Bay,Walt Disney Pictures,7.2,108324.0,R,Action,75000000.0,7-Jun-96,66.0,136.0,Original Screenplay,The Rock,,134069511.0,336069511.0
Historical Fiction,James Ivory,Sony/Columbia,7.9,21736.0,,Drama,15000000.0,5-Nov-93,97.0,,Based on Book/Short Story,The Remains of the Day,,22954968.0,63954968.0
,Jerry Zucker,,7.8,57000.0,,Comedy,3500000.0,4-Jul-80,98.0,,Original Screenplay,Airplane!,,83453539.0,83453539.0
Science Fiction,,Universal,6.7,12438.0,,Comedy,1500000.0,2-Mar-84,97.0,,Original Screenplay,Repo Man,,2300000.0,2300000.0
,,Yash Raj Films,7.5,1436.0,,,1070000.0,11-Dec-09,,,,Rocket Singh: Salesman of the Year,,164649.0,5348767.0
,,,3.9,1757.0,PG,,40000000.0,1-Aug-80,60.0,,,Raise the Titanic,,7000000.0,7000000.0
Historical Fiction,,Miramax,6.5,4024.0,R,Drama,18000000.0,29-Dec-95,,,Based on Book/Short Story,Restoration,,4100000.0,4100000.0
Science Fiction,,Orion Pictures,7.1,13621.0,,Horror,4000000.0,16-Aug-85,88.0,,,The Return of the Living Dead,,14237880.0,14237880.0
Science Fiction,,,5.9,849.0,,Comedy,2700000.0,26-Sep-08,,,Original Screenplay,Rejsen til Saturn,,0.0,2783634.0
Factual,,Arab Film Distribution,8.5,35.0,Not Rated,Documentary,5000.0,13-Jul-05,,,,Return to the Land of Wonders,,1338.0,1338.0
Fantasy,,Walt Disney Pictures,6.7,7491.0,,Adventure,27000000.0,21-Jun-85,55.0,,Based on Book/Short Story,Return to Oz,,10618813.0,10618813.0
Science Fiction,Paul Michael Glaser,Sony/TriStar,6.4,36308.0,,Action,30000000.0,13-Nov-87,63.0,,Based on Book/Short Story,The Running Man,,38122000.0,38122000.0
Contemporary Fiction,Tom Tykwer,Sony Pictures,6.0,91.0,R,Thriller/Suspense,1750000.0,18-Jun-99,,,Original Screenplay,Run Lola Run,,7267324.0,14533173.0
,,,7.3,252.0,,Thriller/Suspense,350000.0,15-Nov-02,,,,Revolution#9,,9118.0,9118.0
Contemporary Fiction,Curtis Hanson,Universal,6.2,14285.0,PG-13,Action,45000000.0,30-Sep-94,56.0,,Original Screenplay,The River Wild,,46815000.0,94215000.0
Contemporary Fiction,David Fincher,New Line,8.7,278918.0,R,Thriller/Suspense,30000000.0,22-Sep-95,,,Original Screenplay,Se7en,,100125643.0,328125643.0
,,October Films,5.9,1743.0,R,,1000000.0,7-Aug-98,58.0,,,Safe Men,,21210.0,21210.0
Contemporary Fiction,Mike Leigh,October Films,7.9,14364.0,R,Drama,4500000.0,28-Sep-96,94.0,,Original Screenplay,Secrets & Lies,,13417292.0,13417292.0
Contemporary Fiction,,Universal,5.2,9693.0,PG,Comedy,39000000.0,29-Mar-96,33.0,93.0,Based on TV,Sgt. Bilko,,30356589.0,37956589.0
Contemporary Fiction,Sydney Pollack,Paramount Pictures,6.0,15749.0,PG,Romantic Comedy,58000000.0,15-Dec-95,61.0,,Remake,Sabrina,,53458319.0,87100000.0
Contemporary Fiction,Luc Besson,Island/Alive,6.2,5904.0,,Drama,2000000.0,6-Nov-85,86.0,,Original Screenplay,Subway,,390659.0,1663296.0
Contemporary Fiction,Spike Lee,Sony Pictures,5.3,2667.0,,Drama,6000000.0,12-Feb-88,58.0,,Original Screenplay,School Daze,,14545844.0,14545844.0
Historical Fiction,Brian De Palma,Universal,8.2,152262.0,Not Rated,Drama,25000000.0,9-Dec-83,88.0,,Remake,Scarface,15386092.0,44942821.0,44942821.0
Dramatization,Steven Spielberg,Universal,8.9,276283.0,R,Drama,25000000.0,15-Dec-93,97.0,,Based on Real Life Events,Schindler's List,,96067179.0,321200000.0
,Elia Kazan,Warner Bros.,8.1,33781.0,,,1800000.0,18-Sep-51,,,Based on Play,A Streetcar Named Desire,,8000000.0,8000000.0
Contemporary Fiction,George P. Cosmatos,Walt Disney Pictures,4.7,2427.0,R,Thriller/Suspense,45000000.0,31-Jan-97,,,Original Screenplay,Shadow Conspiracy,,2154540.0,2154540.0
Factual,,Mela Films,6.9,105.0,Not Rated,Documentary,200000.0,22-Oct-04,75.0,,Based on Real Life Events,Short Cut to Nirvana: Kumbh Mela,,381225.0,439651.0
Dramatization,Stanley Kubrick,Universal,8.0,50856.0,,Action,12000000.0,7-Oct-60,96.0,,Based on Book/Short Story,Spartacus,,30000000.0,60000000.0
,,,6.9,436.0,,Drama,450000.0,22-Aug-97,79.0,,,Sunday,,410919.0,450349.0
,,,6.7,1795.0,,,200000.0,9-Feb-33,100.0,,,She Done Him Wrong,,2000000.0,2000000.0
,,,,,Not Rated,Documentary,3500000.0,7-Nov-06,,,,"Secret, The",65505095.0,0.0,0.0
,,3D Entertainment,,,,,5000000.0,,,,,Sea Rex 3D: Journey to a Prehistoric World,,0.0,0.0
,,,5.7,436.0,,,4500000.0,9-Mar-62,14.0,,,State Fair,,3500000.0,3500000.0
,,Strand,,,,Thriller/Suspense,250000.0,8-Jan-99,,,,Sticky Fingers of Time,,18195.0,20628.0
Science Fiction,,,,,,Action,7000000.0,11-Mar-08,,,Based on TV,Stargate - The Ark of Truth,8962832.0,0.0,0.0
Contemporary Fiction,Spike Lee,Island,6.2,2594.0,,Comedy,175000.0,8-Aug-86,93.0,,Original Screenplay,She's Gotta Have It,,7137502.0,7137502.0
Science Fiction,Roland Emmerich,MGM,6.7,47174.0,PG-13,Action,55000000.0,28-Oct-94,46.0,,Original Screenplay,Stargate,,71565669.0,196565669.0
Super Hero,Russell Mulcahy,Universal,5.6,9530.0,PG-13,Action,40000000.0,1-Jul-94,34.0,,Based on Comic/Graphic Novel,The Shadow,,31835600.0,31835600.0
,,,6.9,1788.0,,,2300000.0,24-Sep-51,89.0,,,Show Boat,,11000000.0,11000000.0
Dramatization,Sir Richard Attenborough,Savoy,7.4,7689.0,R,Drama,22000000.0,29-Dec-93,96.0,,Based on Play,Shadowlands,,25842377.0,25842377.0
,,MGM,2.6,2591.0,,,17000000.0,29-Aug-86,14.0,,,Shanghai Surprise,,2315000.0,2315000.0
,,,5.3,1090.0,,,1455000.0,1968-01-01,,,,Shalako,,2620000.0,2620000.0
Contemporary Fiction,John Guillermin,Sony/Columbia,4.3,1598.0,,Adventure,25000000.0,17-Aug-84,38.0,,Based on Comic/Graphic Novel,Sheena,,5778353.0,5778353.0
Dramatization,Scott Hicks,Fine Line,7.6,22439.0,PG-13,Drama,5500000.0,22-Nov-96,90.0,105.0,Based on Real Life Events,Shine,,35811509.0,35811509.0
Fantasy,Stanley Kubrick,Warner Bros.,8.5,177762.0,,Horror,19000000.0,23-May-80,87.0,,Based on Book/Short Story,The Shining,,44017374.0,44017374.0
Historical Fiction,,Walt Disney Pictures,6.4,1125.0,,Adventure,8500000.0,1-Mar-91,,,Based on Book/Short Story,Haakon Haakonsen,,15024232.0,15024232.0
Contemporary Fiction,,Sony Pictures,3.7,6094.0,,Comedy,40000000.0,15-May-87,19.0,,Original Screenplay,Ishtar,,14375181.0,14375181.0
Contemporary Fiction,Paul Verhoeven,MGM,4.1,27004.0,NC-17,Drama,40000000.0,22-Sep-95,12.0,,Original Screenplay,Showgirls,,20254932.0,20254932.0
Historical Fiction,Frank Darabont,Sony Pictures,9.2,519541.0,R,Drama,25000000.0,23-Sep-94,88.0,,Based on Book/Short Story,The Shawshank Redemption,,28241469.0,28241469.0
Fantasy,,Paramount Pictures,5.9,6387.0,,Horror,7000000.0,11-Oct-85,50.0,,Based on Book/Short Story,Silver Bullet,,10803211.0,10803211.0
,,Sky Island,,,R,Romantic Comedy,200000.0,9-Sep-05,11.0,,Original Screenplay,Side Effects,,44701.0,44701.0
Contemporary Fiction,F. Gary Gray,New Line,6.3,4570.0,R,Drama,9000000.0,6-Nov-96,61.0,120.0,Original Screenplay,Set It Off,,36049108.0,36049108.0
Contemporary Fiction,Jonathan Demme,Orion Pictures,8.7,244856.0,,Thriller/Suspense,20000000.0,14-Feb-91,96.0,,Based on Book/Short Story,The Silence of the Lambs,,130726716.0,275726716.0
Contemporary Fiction,,,,,,Black Comedy,2600000.0,29-Feb-08,,,Original Screenplay,Silver Medalist,,0.0,0.0
,Russell Mulcahy,,5.2,1364.0,,,15000000.0,26-Jun-96,,,,Silent Trigger,,76382.0,76382.0
Fantasy,,Paramount Pictures,5.3,7888.0,R,Horror,14000000.0,25-Oct-96,18.0,93.0,Based on Book/Short Story,Thinner,,15171475.0,15171475.0
Contemporary Fiction,,Miramax,8.0,41785.0,R,Drama,4833610.0,20-Nov-96,96.0,133.0,Based on Short Film,Sling Blade,,24475416.0,34175000.0
,Richard Linklater,,6.9,5907.0,,,23000.0,1-Aug-91,83.0,,,Slacker,,1227508.0,1227508.0
,Billy Wilder,,8.3,67157.0,,,2883848.0,29-Mar-59,97.0,,,Some Like it Hot,,25000000.0,25000000.0
Historical Fiction,Roland Joffe,Walt Disney Pictures,4.6,6155.0,R,Drama,50000000.0,13-Oct-95,15.0,,Based on Book/Short Story,The Scarlet Letter,,10359006.0,10359006.0
,,Cinema Service,7.1,1724.0,Not Rated,Action,8500000.0,23-Apr-04,,,,Silmido,,298347.0,30298347.0
,Woody Allen,MGM,7.3,15466.0,,Comedy,2000000.0,17-Dec-73,100.0,,Original Screenplay,Sleeper,,18344729.0,18344729.0
Dramatization,Barry Levinson,Warner Bros.,7.3,51874.0,R,Drama,44000000.0,18-Oct-96,73.0,105.0,Based on Book/Short Story,Sleepers,,53300852.0,165600852.0
,,,6.0,1136.0,R,,500000.0,10-Jan-03,,,,The Slaughter Rule,,13134.0,13134.0
,King Vidor,,6.0,915.0,,,5000000.0,1-Jan-59,,,,Solomon and Sheba,,11000000.0,11000000.0
Contemporary Fiction,,Alliance,6.7,585.0,Not Rated,Drama,2500000.0,3-Oct-03,,,Based on Book/Short Story,Sur Le Seuil,,2013052.0,2013052.0
Contemporary Fiction,Bryan Singer,Gramercy,8.7,266890.0,R,Drama,6000000.0,16-Aug-95,87.0,,Original Screenplay,The Usual Suspects,,23341568.0,23341568.0
Historical Fiction,Lawrence Kasdan,Sony/Columbia,7.0,14243.0,,Western,26000000.0,10-Jul-85,76.0,,Original Screenplay,Silverado,,33200000.0,33200000.0
,,Hemdale,7.5,7797.0,,Drama,4500000.0,23-Apr-86,91.0,,Original Screenplay,Salvador,,1500000.0,1500000.0
,Steven Soderbergh,Miramax,,,,,1200000.0,4-Aug-89,97.0,,,"Sex, Lies, and Videotape",,24741667.0,36741667.0
Contemporary Fiction,,Wolfe Releasing,5.9,288.0,R,Thriller/Suspense,400000.0,4-Nov-05,,,Original Screenplay,Show Me,,0.0,0.0
Contemporary Fiction,,Strand,8.0,4873.0,,Comedy,1300000.0,7-Apr-06,,,Original Screenplay,Simon,,4055.0,4055.0
Fantasy,,Walt Disney Pictures,3.8,17281.0,,Action,42000000.0,28-May-93,,,Based on Game,Super Mario Bros.,,20844907.0,20844907.0
Fantasy,,Universal,7.0,8787.0,,Drama,5100000.0,3-Oct-80,63.0,,Based on Book/Short Story,Somewhere in Time,,9709597.0,9709597.0
Contemporary Fiction,,Miramax,6.9,5058.0,PG-13,Comedy,2000000.0,26-Jun-98,86.0,,Based on Book/Short Story,Smoke Signals,,6719300.0,7756617.0
Contemporary Fiction,John Waters,Savoy,6.4,10999.0,R,Comedy,13000000.0,13-Apr-94,61.0,,Original Screenplay,Serial Mom,,7881335.0,7881335.0
Contemporary Fiction,,Regent Releasing,7.6,5251.0,R,Drama,3000000.0,17-Mar-06,,,Original Screenplay,Sommersturm,,95204.0,95204.0
,Mel Brooks,20th Century Fox,6.4,6248.0,,Comedy,4400000.0,25-Jun-76,89.0,,Original Screenplay,Silent Movie,,36145695.0,36145695.0
Kids Fiction,John Pasquin,Walt Disney Pictures,6.1,17773.0,PG,Comedy,22000000.0,11-Nov-94,79.0,,Original Screenplay,The Santa Clause,,144833357.0,189800000.0
Contemporary Fiction,,Halestorm Entertainment,5.7,736.0,PG,Comedy,500000.0,1-Feb-02,50.0,,Original Screenplay,The Singles Ward,,1250798.0,1250798.0
Historical Fiction,Ang Lee,Sony Pictures,7.7,31279.0,PG,Drama,16500000.0,11-Dec-95,98.0,,Based on Book/Short Story,Sense and Sensibility,,42993774.0,134993774.0
,Stanley Donen,MGM,8.4,55352.0,,,2540000.0,10-Apr-52,100.0,,,Singin' in the Rain,,3600000.0,3600000.0
,,Indican Pictures,4.8,82.0,Not Rated,Drama,200000.0,7-Jan-05,,,Original Screenplay,Solitude,,6260.0,6260.0
Historical Fiction,Robert Wise,20th Century Fox,6.3,45.0,,Musical,8200000.0,"April, 1965",81.0,,Based on Book/Short Story,The Sound of Music,,163214286.0,286214286.0
Contemporary Fiction,Edward Burns,Fox Searchlight,6.0,8159.0,R,Romantic Comedy,3500000.0,23-Aug-96,60.0,,Original Screenplay,She's the One,,9482579.0,13795053.0
,,,5.6,263.0,,,450000.0,1991-01-01,100.0,,,Straight out of Brooklyn,,2712293.0,2712293.0
Science Fiction,Mel Brooks,MGM,6.9,52434.0,,Comedy,22700000.0,24-Jun-87,65.0,,Original Screenplay,Spaceballs,,38119483.0,38119483.0
Contemporary Fiction,Jan De Bont,20th Century Fox,2.6,4175.0,R,Action,30000000.0,10-Jun-94,90.0,,Original Screenplay,Speed,,121248145.0,283200000.0
Science Fiction,Roger Donaldson,MGM,5.6,21917.0,R,Action,35000000.0,7-Jul-95,39.0,,Original Screenplay,Species,,60054449.0,113354449.0
Contemporary Fiction,Franklin J. Schaffner,Orion Pictures,4.9,478.0,,Thriller/Suspense,10000000.0,11-Feb-81,,,Based on Book/Short Story,Sphinx,,2000000.0,11400000.0
Science Fiction,Patrick Read Johnson,Walt Disney Pictures,4.8,1464.0,,Comedy,3000000.0,27-Apr-90,9.0,,Original Screenplay,Spaced Invaders,,15000000.0,15000000.0
,Alfred Hitchcock,ThinkFilm,7.7,14665.0,G,,1500000.0,1945-01-01,87.0,,,Spellbound,,7000000.0,7000000.0
Fantasy,Ron Howard,Walt Disney Pictures,6.2,21732.0,,Comedy,8000000.0,9-Mar-84,91.0,,Original Screenplay,Splash,,62599495.0,62599495.0
Super Hero,Sidney J. Furie,Warner Bros.,3.4,15164.0,,Action,17000000.0,24-Jul-87,,,Based on Comic/Graphic Novel,Superman IV: The Quest for Peace,,11227824.0,11227824.0
Super Hero,Richard Donner,Warner Bros.,6.7,29512.0,,Adventure,50000000.0,19-Jun-81,,,Based on Comic/Graphic Novel,Superman II,,108185706.0,108185706.0
Super Hero,,Warner Bros.,4.7,18070.0,,Adventure,39000000.0,17-Jun-83,23.0,,Based on Comic/Graphic Novel,Superman III,,59950623.0,59950623.0
,,Strand,5.5,320.0,R,,1000000.0,19-Mar-99,17.0,,,Sparkler,,5494.0,5494.0
Super Hero,Richard Donner,Warner Bros.,4.9,129.0,PG,Adventure,55000000.0,15-Dec-78,94.0,,Based on Comic/Graphic Novel,Superman,,134218018.0,300200000.0
Contemporary Fiction,,Warner Bros.,4.9,18749.0,R,Action,45000000.0,7-Oct-94,4.0,,Based on Book/Short Story,The Specialist,,57362581.0,57362581.0
,William Friedkin,,6.8,563.0,,,21600000.0,24-Jun-77,,,,The Sorcerer,,12000000.0,12000000.0
Factual,,Women Make Movies,6.7,203.0,Not Rated,Documentary,300000.0,12-Apr-06,,,Based on Real Life Events,Sisters in Law,,33312.0,33312.0
Contemporary Fiction,Bille August,Fox Searchlight,6.1,7280.0,R,Thriller/Suspense,35000000.0,28-Feb-97,53.0,,Based on Book/Short Story,Smilla's Sense of Snow,,2221994.0,2221994.0
Contemporary Fiction,Richard Donner,Warner Bros.,5.9,23370.0,R,Action,50000000.0,6-Oct-95,9.0,,Original Screenplay,Assassins,,30306268.0,83306268.0
Science Fiction,Robert Wise,Paramount Pictures,6.2,25454.0,PG,Adventure,35000000.0,7-Dec-79,48.0,,Based on TV,Star Trek: The Motion Picture,,82258456.0,139000000.0
Science Fiction,Leonard Nimoy,Paramount Pictures,6.5,22261.0,,Adventure,18000000.0,1-Jun-84,,,Based on TV,Star Trek III: The Search for Spock,,76471046.0,87000000.0
Science Fiction,Leonard Nimoy,Paramount Pictures,7.3,26207.0,,Adventure,24000000.0,26-Nov-86,,,Based on TV,Star Trek IV: The Voyage Home,,109713132.0,133000000.0
Historical Fiction,Rob Reiner,Sony/Columbia,8.2,90143.0,,Drama,8000000.0,8-Aug-86,94.0,,Based on Book/Short Story,Stand by Me,,52287414.0,52287414.0
Contemporary Fiction,,Sony Pictures,4.6,52.0,R,Action,25000000.0,17-May-91,29.0,,Original Screenplay,Stone Cold,,9286314.0,9286314.0
,,,4.3,86.0,,,200000.0,25-Jul-69,,,,The Stewardesses,,13500000.0,25000000.0
Contemporary Fiction,,Universal,3.3,25407.0,PG-13,Action,35000000.0,23-Dec-94,13.0,,Based on Game,Street Fighter,,33423000.0,99423000.0
Science Fiction,,Paramount Pictures,7.8,36131.0,PG,Adventure,12000000.0,4-Jun-82,,,Based on TV,Star Trek II: The Wrath of Khan,,79912963.0,96800000.0
,,,,,Not Rated,,15000000.0,25-Apr-03,,,,Steal (Canadian Release),,220944.0,220944.0
Historical Fiction,George Roy Hill,Universal,8.4,65866.0,,,5500000.0,25-Dec-73,91.0,,Original Screenplay,The Sting,,159616327.0,159616327.0
Dramatization,,Strand,7.0,741.0,R,Drama,2000000.0,26-Jul-96,,99.0,Based on Real Life Events,Stonewall,,304602.0,304602.0
Science Fiction,,Paramount Pictures,5.0,20600.0,,Action,30000000.0,9-Jun-89,,,Based on TV,Star Trek V: The Final Frontier,,52210049.0,70200000.0
Science Fiction,,Paramount Pictures,7.2,23546.0,,Action,27000000.0,6-Dec-91,,,Based on TV,Star Trek VI: The Undiscovered Country,,74888996.0,96900000.0
Science Fiction,,Paramount Pictures,6.5,26465.0,PG,Adventure,38000000.0,18-Nov-94,,,Based on TV,Star Trek: Generations,,75671262.0,120000000.0
Contemporary Fiction,Ivan Reitman,Sony Pictures,6.8,19618.0,R,Comedy,10000000.0,26-Jun-81,88.0,,Original Screenplay,Stripes,,85300000.0,85300000.0
Contemporary Fiction,Andrew Bergman,Sony Pictures,3.9,18012.0,R,Comedy,50000000.0,28-Jun-96,12.0,115.0,Based on Book/Short Story,Striptease,,32773011.0,32773011.0
Science Fiction,George Lucas,20th Century Fox,,,PG,Adventure,11000000.0,25-May-77,,,Original Screenplay,Star Wars Ep. IV: A New Hope,11182540.0,460998007.0,797900000.0
Dramatization,Ryan Little,Excel Entertainment,7.0,7581.0,PG-13,Drama,780000.0,6-Aug-04,,90.0,Based on Real Life Events,Saints and Soldiers,,1310470.0,1310470.0
Contemporary Fiction,,Weinstein Co.,3.3,108.0,,Comedy,1000000.0,2008-01-01,,,Original Screenplay,Steppin: The Movie,,0.0,0.0
,Alfred Hitchcock,Warner Bros.,8.3,34284.0,PG,,1200000.0,3-Jul-51,98.0,,,Strangers on a Train,,7000000.0,7000000.0
Contemporary Fiction,,20th Century Fox,5.3,1627.0,R,Drama,10000000.0,25-Feb-94,22.0,,Original Screenplay,Sugar Hill,,18272447.0,18272447.0
,,Cowboy Pictures,6.1,543.0,,,5700000.0,27-Aug-99,29.0,,,Stiff Upper Lips,,69582.0,69582.0
Historical Fiction,Akira Kurosawa,Cowboy Pictures,8.8,96698.0,,Action,500000.0,19-Nov-56,,,Original Screenplay,Shichinin no samurai,,271736.0,271736.0
,Bob Fosse,,7.0,1691.0,,,20000000.0,1969-01-01,,,,Sweet Charity,,8000000.0,8000000.0
,,,7.1,4160.0,,,1000000.0,1949-01-01,100.0,,,Sands of Iwo Jima,,7800000.0,7800000.0
Contemporary Fiction,,MGM,7.1,24938.0,,Action,14000000.0,13-Jul-77,78.0,,Based on Book/Short Story,The Spy Who Loved Me,,46800000.0,185400000.0
,,New Yorker,5.2,1417.0,,Comedy,10000000.0,25-Dec-98,,,,The Swindle,,245359.0,5045359.0
Contemporary Fiction,Doug Liman,Miramax,6.2,431.0,R,Comedy,200000.0,18-Oct-96,86.0,,Original Screenplay,Swingers,,4505922.0,6542637.0
Fantasy,,Walt Disney Pictures,7.8,38141.0,,Musical,1488000.0,21-Dec-37,97.0,,Traditional/Legend/Fairytale,Snow White and the Seven Dwarfs,,184925485.0,184925485.0
Contemporary Fiction,Atom Egoyan,Fine Line,7.8,16280.0,R,Drama,5000000.0,10-Oct-97,100.0,,Based on Book/Short Story,The Sweet Hereafter,,4306697.0,4306697.0
,John Ford,,7.3,5825.0,,,1600000.0,1949-01-01,100.0,,,She Wore a Yellow Ribbon,,5400000.0,5400000.0
Factual,,,5.0,151.0,Not Rated,Documentary,1100000.0,22-Feb-02,39.0,,Based on Real Life Events,Sex with Strangers,,247740.0,247740.0
Contemporary Fiction,,Walt Disney Pictures,4.7,12682.0,PG-13,Comedy,18000000.0,24-May-96,7.0,81.0,Original Screenplay,Spy Hard,,26936265.0,26936265.0
,,,6.9,1795.0,,,23000000.0,18-Dec-09,,,,Shi Yue Wei Cheng,,0.0,44195779.0
