Aircraft__Airline_Operator,Aircraft__Make_Model,Airport__Name,Cost__Other,Cost__Repair,Cost__Total_$,Effect__Amount_of_damage,Flight_Date,Origin_State,Speed_IAS_in_knots,When__Phase_of_flight,When__Time_of_day,Wildlife__Size,Wildlife__Species
US AIRWAYS*,B-737,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,0,0,0,None,3/30/93 0:00,Kentucky,131.0,Climb,Day,Small,Mourning dove
UNITED AIRLINES,B-737-500,RONALD REAGAN WASHINGTON NATL,0,0,0,Substantial,3/31/93 0:00,DC,160.0,Climb,Night,Large,Unknown bird - large
MESABA AIRLINES,DHC8 DASH 8,DETROIT METRO WAYNE COUNTY ARPT,0,0,0,None,3/31/93 0:00,Michigan,,Take-off run,Day,Medium,Unknown bird - medium
ABX AIR,DC-8-61,FORT LAUDERDALE/HOLLYWOOD INTL,0,0,0,None,4/1/93 0:00,Florida,150.0,Approach,Dawn,Medium,Unknown bird - medium
SOUTHWEST AIRLINES,B-737-300,SACRAMENTO INTL,0,0,0,None,4/1/93 0:00,California,90.0,Take-off run,Day,Medium,Mallard
DELTA AIR LINES,B-757-200,SALT LAKE CITY INTL,0,0,0,None,4/1/93 0:00,Utah,180.0,Approach,Night,Small,Unknown bird - small
ALOHA AIRLINES,B-737-200,HONOLULU INTL ARPT,0,0,0,None,4/2/93 0:00,Hawaii,90.0,Landing Roll,Day,Small,Unknown bird - small
US AIRWAYS*,B-737-200,CHARLOTTE/DOUGLAS INTL ARPT,0,0,0,None,4/2/93 0:00,North Carolina,145.0,Approach,Night,Small,American robin
AMERICAN AIRLINES,MD-82,SAN ANTONIO INTL,0,0,0,None,4/4/93 0:00,Texas,135.0,Approach,Day,Small,Unknown bird - small
FEDEX EXPRESS,B-727,SAN FRANCISCO INTL ARPT,0,0,0,None,4/6/93 0:00,California,150.0,Approach,Night,Medium,Unknown bird - medium
AMERICAN AIRLINES,B-727-100,NEW ORLEANS INTL,0,0,0,None,4/6/93 0:00,Louisiana,125.0,Approach,Night,Small,Unknown bird - small
UPS AIRLINES,B-747-1/200,LOUISVILLE INTL ARPT,0,0,0,Minor,4/7/93 0:00,Kentucky,320.0,Climb,Night,Large,Unknown bird - large
NORTHWEST AIRLINES,DC-9-30,WASHINGTON DULLES INTL ARPT,0,0,0,None,4/7/93 0:00,DC,240.0,Approach,Night,Medium,Unknown bird - medium
US AIRWAYS*,B-737-300,FORT LAUDERDALE/HOLLYWOOD INTL,0,0,0,None,4/8/93 0:00,Florida,180.0,Climb,Day,Medium,Unknown bird - medium
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,4/8/93 0:00,Louisiana,340.0,Approach,Night,Medium,Unknown bird or bat
US AIRWAYS*,B-737-200,NEW ORLEANS INTL,0,0,0,None,4/8/93 0:00,Louisiana,160.0,Take-off run,Day,Small,Unknown bird - small
SOUTHWEST AIRLINES,B-737-200,SAN ANTONIO INTL,0,0,0,None,4/8/93 0:00,Texas,150.0,Approach,Night,Small,Unknown bird - small
ALOHA AIRLINES,B-737-200,LIHUE ARPT,0,0,0,None,4/12/93 0:00,Hawaii,140.0,Climb,Day,Medium,Short-eared owl
MILITARY,KC-135R,SACRAMENTO INTL,0,0,0,None,4/12/93 0:00,California,180.0,Approach,Day,Small,Horned lark
AMERICAN AIRLINES,MD-80,CHICAGO O'HARE INTL ARPT,0,0,0,None,4/13/93 0:00,Illinois,250.0,Climb,Night,Large,Unknown bird - large
US AIRWAYS*,FOKKER F100,INDIANAPOLIS INTL,0,0,0,None,4/13/93 0:00,Indiana,150.0,Climb,Day,Small,Unknown bird - small
DELTA AIR LINES,B-727,RONALD REAGAN WASHINGTON NATL,0,0,0,None,4/13/93 0:00,DC,,Approach,Dusk,Small,Unknown bird - small
AMERICAN AIRLINES,B-757-200,NEWARK LIBERTY INTL ARPT,0,0,0,None,4/14/93 0:00,New Jersey,132.0,Approach,Night,Large,Unknown bird - large
UNITED AIRLINES,B-747,JOHN F KENNEDY INTL,0,0,0,Minor,4/14/93 0:00,New York,,Climb,Day,Medium,Unknown bird - medium
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,4/14/93 0:00,Louisiana,150.0,Approach,Night,Medium,Unknown bird or bat
UPS AIRLINES,B-757-200,LOUISVILLE INTL ARPT,0,0,0,None,4/14/93 0:00,Kentucky,125.0,Approach,Night,Small,Unknown bird - small
AMERICAN AIRLINES,DC-10-10,CHICAGO O'HARE INTL ARPT,0,0,0,None,4/15/93 0:00,Illinois,155.0,Approach,Night,Large,Unknown bird - large
AMERICAN AIRLINES,B-727,NEW ORLEANS INTL,0,0,0,None,4/15/93 0:00,Louisiana,170.0,Climb,Day,Medium,Unknown bird - medium
AMERICAN AIRLINES,MD-80,PORTLAND INTL (OR),0,0,0,None,4/15/93 0:00,Oregon,135.0,Approach,Night,Medium,Unknown bird - medium
NORTHWEST AIRLINES,B-757-200,DETROIT METRO WAYNE COUNTY ARPT,0,0,0,None,4/16/93 0:00,Michigan,,Take-off run,Day,Medium,Unknown bird - medium
SOUTHWEST AIRLINES,B-737-500,NEW ORLEANS INTL,0,0,0,None,4/16/93 0:00,Louisiana,140.0,Climb,Night,Small,Unknown bird - small
AMERICAN AIRLINES,MD-88,DALLAS/FORT WORTH INTL ARPT,0,0,0,None,4/17/93 0:00,Texas,,Landing Roll,Day,Medium,Unknown bird - medium
UNITED AIRLINES,DC-10,CHICAGO O'HARE INTL ARPT,0,0,0,None,4/17/93 0:00,Illinois,,Approach,Day,Small,Unknown bird - small
AMERICAN AIRLINES,MD-80,LOGAN INTL,0,0,0,Substantial,4/18/93 0:00,Massachusetts,,Climb,Day,Medium,Unknown bird - medium
SOUTHWEST AIRLINES,B-737-300,LAMBERT-ST LOUIS INTL,0,0,0,None,4/18/93 0:00,Missouri,210.0,Climb,Night,Medium,Unknown bird - medium
NORTHWEST AIRLINES,B-727,FORT LAUDERDALE/HOLLYWOOD INTL,0,0,0,None,4/18/93 0:00,Florida,131.0,Take-off run,Day,Small,Cattle egret
US AIRWAYS*,MD-80,AUSTIN-BERGSTROM INTL,0,0,0,None,4/19/93 0:00,Texas,,Take-off run,Dawn,Medium,Unknown bird - medium
PINNACLE,DHC8 DASH 8,JOHN F KENNEDY INTL,0,0,0,None,4/19/93 0:00,New York,,Approach,Day,Medium,Mallard
SOUTHWEST AIRLINES,B-737-300,SACRAMENTO INTL,0,0,0,None,4/19/93 0:00,California,160.0,Climb,Day,Medium,Unknown bird - medium
AMERICAN AIRLINES,DC-9,CHICAGO O'HARE INTL ARPT,0,0,0,None,4/19/93 0:00,Illinois,138.0,Approach,Dusk,Medium,Ring-billed gull
CONTINENTAL AIRLINES,A-300,SAN FRANCISCO INTL ARPT,0,0,0,None,4/19/93 0:00,California,140.0,Approach,Night,Medium,Unknown bird - medium
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,4/19/93 0:00,Louisiana,130.0,Approach,Night,Medium,Unknown bird or bat
AMERICAN AIRLINES,MD-80,DALLAS/FORT WORTH INTL ARPT,0,0,0,None,4/19/93 0:00,Texas,140.0,Approach,Day,Small,Mourning dove
AMERICAN AIRLINES,B-727-200,HOUSTON-HOBBY,0,0,0,None,4/19/93 0:00,Texas,115.0,Take-off run,Day,Small,Unknown bird - small
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,4/20/93 0:00,Louisiana,131.0,Approach,Night,Medium,Unknown bird or bat
AMERICAN AIRLINES,MD-80,DALLAS/FORT WORTH INTL ARPT,0,0,0,None,4/21/93 0:00,Texas,,Approach,Night,Medium,Unknown bird - medium
MILITARY,KC-10A,CHARLESTON AFB/INTL ARPT,0,0,0,None,4/22/93 0:00,South Carolina,160.0,Climb,Day,Medium,Unknown bird or bat
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,4/22/93 0:00,Louisiana,150.0,Approach,Night,Medium,Unknown bird or bat
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,4/22/93 0:00,Louisiana,160.0,Approach,Night,Medium,Unknown bird or bat
UNITED AIRLINES,B-737-200,SAN FRANCISCO INTL ARPT,0,0,0,None,4/22/93 0:00,California,140.0,Approach,Day,Small,Unknown bird - small
TRANS WORLD AIRLINES,B-727,LAMBERT-ST LOUIS INTL,0,0,0,None,4/22/93 0:00,Missouri,120.0,Landing Roll,Day,Small,European starling
TRANS WORLD AIRLINES,B-727-200,LAMBERT-ST LOUIS INTL,0,0,0,None,4/22/93 0:00,Missouri,100.0,Landing Roll,Day,Small,Unknown bird - small
AMERICAN AIRLINES,MD-80,DALLAS/FORT WORTH INTL ARPT,0,0,0,None,4/22/93 0:00,Texas,90.0,Take-off run,Day,Small,Rock pigeon
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,4/23/93 0:00,Louisiana,145.0,Take-off run,Day,Medium,Unknown bird or bat
MILITARY,KC-135,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,4/23/93 0:00,Louisiana,135.0,Approach,Night,Medium,Unknown bird or bat
AMERICAN AIRLINES,B-767-200,SAN FRANCISCO INTL ARPT,0,0,0,None,4/23/93 0:00,California,150.0,Climb,Day,Small,Unknown bird - small
UNITED AIRLINES,B-737,CHICAGO O'HARE INTL ARPT,0,0,0,None,4/24/93 0:00,Illinois,135.0,Take-off run,Day,Medium,Unknown bird - medium
US AIRWAYS*,DC-9,FORT LAUDERDALE/HOLLYWOOD INTL,0,0,0,Minor,4/24/93 0:00,Florida,139.0,Take-off run,Night,Medium,Unknown bird - medium
US AIRWAYS*,B-737-400,CHARLOTTE/DOUGLAS INTL ARPT,0,0,0,None,4/25/93 0:00,North Carolina,150.0,Take-off run,Night,Medium,Unknown bird - medium
COMAIR AIRLINES,SAAB-340,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,0,0,0,None,4/26/93 0:00,Kentucky,120.0,Approach,Day,Small,Unknown bird - small
AMERICAN AIRLINES,B-727,NEW ORLEANS INTL,0,0,0,None,4/26/93 0:00,Louisiana,135.0,Approach,Night,Small,Unknown bird - small
MILITARY,KC-10A,CHARLESTON AFB/INTL ARPT,0,0,0,None,4/27/93 0:00,South Carolina,160.0,Climb,Day,Medium,Unknown bird or bat
UNITED AIRLINES,B-737,INDIANAPOLIS INTL,0,0,0,None,4/27/93 0:00,Indiana,100.0,Take-off run,Day,Medium,Unknown bird - medium
MILITARY,KC-135,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,4/28/93 0:00,Louisiana,150.0,Approach,Night,Medium,Unknown bird or bat
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,4/28/93 0:00,Louisiana,180.0,Approach,Night,Medium,Unknown bird or bat
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,4/28/93 0:00,Louisiana,180.0,Approach,Night,Medium,Unknown bird or bat
MILITARY,KC-135,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,4/28/93 0:00,Louisiana,200.0,Approach,Night,Medium,Unknown bird or bat
UNITED AIRLINES,B-737,DALLAS/FORT WORTH INTL ARPT,0,0,0,None,4/28/93 0:00,Texas,,Approach,Night,Medium,Unknown bird - medium
ATLANTIC COAST AIRLINES,EMB-120,WASHINGTON DULLES INTL ARPT,0,0,0,None,4/28/93 0:00,DC,200.0,Climb,Night,Medium,Unknown bird - medium
EXPRESSJET (CONTINENTAL EXPRS),ATR-42,GEORGE BUSH INTERCONTINENTAL,0,0,0,None,4/28/93 0:00,Texas,200.0,Approach,Day,Small,Unknown bird - small
NORTHWEST AIRLINES,A-320,PHILADELPHIA INTL,0,0,0,None,4/28/93 0:00,Pennsylvania,155.0,Landing Roll,Day,Small,Unknown bird - small
EXPRESSJET (CONTINENTAL EXPRS),EMB UNKN,GEORGE BUSH INTERCONTINENTAL,0,0,0,None,4/28/93 0:00,Texas,210.0,Approach,Dusk,Small,Unknown bird - small
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,4/29/93 0:00,Louisiana,140.0,Approach,Night,Medium,Unknown bird or bat
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,4/29/93 0:00,Louisiana,175.0,Approach,Night,Medium,Unknown bird or bat
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,4/30/93 0:00,Louisiana,120.0,Take-off run,Day,Medium,Unknown bird or bat
TRANS WORLD AIRLINES,B-727,KANSAS CITY INTL,0,0,0,None,4/30/93 0:00,Missouri,,Approach,Night,Medium,Unknown bird - medium
AMERICAN AIRLINES,MD-80,DALLAS/FORT WORTH INTL ARPT,0,0,0,None,4/30/93 0:00,Texas,150.0,Climb,Day,Small,Unknown bird - small
AMERICAN AIRLINES,MD-80,EPPLEY AIRFIELD,0,0,0,None,5/1/93 0:00,Nebraska,140.0,Climb,Day,Medium,Unknown bird - medium
DELTA AIR LINES,B-757-200,DALLAS/FORT WORTH INTL ARPT,0,0,0,None,5/1/93 0:00,Texas,,Landing Roll,Day,Medium,Unknown bird - medium
UPS AIRLINES,B-757-200,LOUISVILLE INTL ARPT,0,0,0,None,5/1/93 0:00,Kentucky,170.0,Descent,Night,Small,Unknown bird - small
AMERICA WEST AIRLINES,B-737,SACRAMENTO INTL,0,0,0,None,5/2/93 0:00,California,180.0,Approach,Night,Medium,Unknown bird - medium
AMERICAN AIRLINES,B-727-100,INDIANAPOLIS INTL,0,0,0,None,5/2/93 0:00,Indiana,165.0,Climb,Day,Small,Unknown bird - small
DELTA AIR LINES,B-727,DALLAS/FORT WORTH INTL ARPT,0,0,0,None,5/3/93 0:00,Texas,,Approach,Night,Medium,Unknown bird - medium
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,5/3/93 0:00,Louisiana,160.0,Take-off run,Night,Medium,Unknown bird or bat
AMERICAN EAGLE AIRLINES,ATR-42,JOHN F KENNEDY INTL,0,0,0,None,5/3/93 0:00,New York,,Take-off run,Day,Small,Laughing gull
DELTA AIR LINES,B-737-200,DALLAS/FORT WORTH INTL ARPT,0,0,0,None,5/4/93 0:00,Texas,220.0,Approach,Night,Large,Unknown bird - large
BUSINESS,BE-200 KING,MEMPHIS INTL,0,0,0,None,5/4/93 0:00,Tennessee,80.0,Take-off run,Day,Medium,Red-tailed hawk
SOUTHWEST AIRLINES,B-737-300,KANSAS CITY INTL,0,0,0,None,5/4/93 0:00,Missouri,250.0,Descent,Night,Medium,Unknown bird - medium
US AIRWAYS*,B-737-300,CHARLOTTE/DOUGLAS INTL ARPT,0,0,0,None,5/4/93 0:00,North Carolina,140.0,Approach,Day,Small,European starling
AMERICAN AIRLINES,MD-83,SAN ANTONIO INTL,161,0,161,None,5/4/93 0:00,Texas,130.0,Approach,Day,Small,Unknown bird - small
SOUTHWEST AIRLINES,B-737,AUSTIN-BERGSTROM INTL,0,0,0,None,5/4/93 0:00,Texas,135.0,Approach,Night,Small,Unknown bird - small
UPS AIRLINES,B-757-200,LOUISVILLE INTL ARPT,0,0,0,None,5/5/93 0:00,Kentucky,150.0,Approach,Night,Small,Unknown bird - small
SOUTHWEST AIRLINES,B-737-200,DETROIT METRO WAYNE COUNTY ARPT,0,0,0,None,5/5/93 0:00,Michigan,140.0,Approach,Night,Small,Unknown bird - small
AMERICAN AIRLINES,B-767,LAGUARDIA NY,0,0,0,None,5/5/93 0:00,New York,135.0,Approach,Night,Small,Unknown bird - small
MILITARY,KC-135,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,5/6/93 0:00,Louisiana,180.0,Approach,Night,Medium,Unknown bird or bat
AMERICAN AIRLINES,MD-80,PHILADELPHIA INTL,0,0,0,None,5/6/93 0:00,Pennsylvania,200.0,Approach,Night,Medium,Unknown bird - medium
ALLEGHENYAIRLINES,SHORTS 360,PHILADELPHIA INTL,0,0,0,None,5/6/93 0:00,Pennsylvania,120.0,Landing Roll,Day,Small,European starling
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,5/7/93 0:00,Louisiana,100.0,Take-off run,Day,Medium,Unknown bird or bat
DELTA AIR LINES,B-757-200,DALLAS/FORT WORTH INTL ARPT,0,0,0,None,5/8/93 0:00,Texas,,Landing Roll,Dawn,Medium,Unknown bird - medium
AMERICAN AIRLINES,B-727-200,CHICAGO O'HARE INTL ARPT,0,0,0,None,5/8/93 0:00,Illinois,142.0,Approach,Dusk,Small,Unknown bird - small
UPS AIRLINES,B-727,LOUISVILLE INTL ARPT,0,0,0,None,5/8/93 0:00,Kentucky,150.0,Approach,Night,Small,Unknown bird - small
AMERICAN AIRLINES,B-757-200,LOGAN INTL,0,0,0,None,5/9/93 0:00,Massachusetts,210.0,Approach,Night,Medium,Unknown bird - medium
HORIZON AIR,DHC8 DASH 8,PORTLAND INTL (OR),0,0,0,None,5/9/93 0:00,Oregon,,Descent,Night,Medium,Unknown bird - medium
US AIRWAYS*,B-737-300,NEW ORLEANS INTL,0,0,0,Substantial,5/9/93 0:00,Louisiana,120.0,Take-off run,Day,Small,Unknown bird - small
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,5/10/93 0:00,Louisiana,120.0,Take-off run,Day,Medium,Unknown bird or bat
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,5/10/93 0:00,Louisiana,160.0,Approach,Night,Medium,Unknown bird or bat
AMERICAN AIRLINES,MD-82,CLEVELAND-HOPKINS INTL ARPT,0,0,0,None,5/10/93 0:00,Ohio,250.0,Descent,Night,Medium,Unknown bird - medium
AMERICAN AIRLINES,FOKKER F100,CHICAGO O'HARE INTL ARPT,0,0,0,None,5/10/93 0:00,Illinois,130.0,Approach,Day,Small,Unknown bird - small
AMERICAN AIRLINES,B-767-200,LAGUARDIA NY,0,0,0,None,5/10/93 0:00,New York,230.0,Approach,Night,Small,Unknown bird - small
AMERICAN AIRLINES,FOKKER F100,CHICAGO O'HARE INTL ARPT,0,0,0,None,5/11/93 0:00,Illinois,135.0,Approach,Night,Medium,Unknown bird - medium
AMERICAN AIRLINES,MD-80,AUSTIN-BERGSTROM INTL,0,0,0,None,5/11/93 0:00,Texas,130.0,Approach,Day,Small,Rock pigeon
UPS AIRLINES,B-727,LOUISVILLE INTL ARPT,0,0,0,None,5/11/93 0:00,Kentucky,220.0,Descent,Day,Small,Unknown bird - small
UPS AIRLINES,B-757-200,LOUISVILLE INTL ARPT,0,0,0,None,5/11/93 0:00,Kentucky,133.0,Approach,Night,Small,Unknown bird - small
AMERICAN AIRLINES,MD-80,SAN ANTONIO INTL,0,0,0,None,5/11/93 0:00,Texas,130.0,Approach,Night,Small,Unknown bird - small
FEDEX EXPRESS,B-727-100,MEMPHIS INTL,0,0,0,None,5/11/93 0:00,Tennessee,150.0,Climb,Night,Small,Unknown bird - small
UNITED AIRLINES,B-737-500,CHICAGO O'HARE INTL ARPT,0,0,0,Substantial,5/12/93 0:00,Illinois,,Climb,Dusk,Medium,Unknown bird - medium
UNITED AIRLINES,B-737-300,CHICAGO O'HARE INTL ARPT,0,0,0,None,5/13/93 0:00,Illinois,130.0,Approach,Night,Small,Unknown bird - small
AMERICAN AIRLINES,B-757-200,WASHINGTON DULLES INTL ARPT,0,0,0,None,5/14/93 0:00,DC,170.0,Approach,Night,Medium,Unknown bird - medium
UNITED AIRLINES,B-757-200,CHICAGO O'HARE INTL ARPT,0,0,0,None,5/14/93 0:00,Illinois,100.0,Take-off run,Day,Small,European starling
AMERICAN AIRLINES,B-757-200,WASHINGTON DULLES INTL ARPT,0,0,0,None,5/14/93 0:00,DC,160.0,Approach,Night,Small,Unknown bird - small
AMERICAN AIRLINES,MD-80,DALLAS/FORT WORTH INTL ARPT,0,0,0,None,5/15/93 0:00,Texas,125.0,Approach,Day,Small,Unknown bird - small
US AIRWAYS*,B-737-300,LAGUARDIA NY,0,0,0,None,5/15/93 0:00,New York,130.0,Landing Roll,Day,Small,Unknown bird - small
AMERICAN AIRLINES,B-727,NASHVILLE INTL,0,0,0,None,5/15/93 0:00,Tennessee,160.0,Take-off run,Day,Small,Unknown bird - small
PRIVATELY OWNED,DA-10 FALCON,DALLAS/FORT WORTH INTL ARPT,0,0,0,None,5/17/93 0:00,Texas,142.0,Approach,Dawn,Medium,Unknown bird - medium
EXPRESSJET (CONTINENTAL EXPRS),ATR-42,GEORGE BUSH INTERCONTINENTAL,0,0,0,None,5/18/93 0:00,Texas,,Approach,Day,Medium,Unknown bird - medium
AMERICAN AIRLINES,MD-80,DALLAS/FORT WORTH INTL ARPT,0,0,0,None,5/18/93 0:00,Texas,,Take-off run,Day,Medium,Unknown bird - medium
DELTA AIR LINES,L-1011,SALT LAKE CITY INTL,0,0,0,None,5/19/93 0:00,Utah,130.0,Approach,Day,Medium,Unknown bird - medium
MILITARY,C-130E,MINNEAPOLIS-ST PAUL INTL,0,0,0,None,5/19/93 0:00,Minnesota,100.0,Climb,Day,Medium,Unknown bird - medium
AMERICAN AIRLINES,DC-10,DALLAS/FORT WORTH INTL ARPT,0,0,0,None,5/19/93 0:00,Texas,,Approach,Night,Medium,Unknown bird - medium
UNITED AIRLINES,B-727-200,CHICAGO O'HARE INTL ARPT,0,0,0,None,5/19/93 0:00,Illinois,135.0,Approach,Day,Small,European starling
MILITARY,B-52G,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,5/20/93 0:00,Louisiana,145.0,Approach,Day,Medium,Unknown bird or bat
US AIRWAYS*,B-737-300,LOS ANGELES INTL,0,0,0,None,5/20/93 0:00,California,140.0,Approach,Day,Small,Unknown bird - small
US AIRWAYS*,B-737,CHICAGO O'HARE INTL ARPT,0,0,0,None,5/21/93 0:00,Illinois,170.0,Climb,Day,Small,Unknown bird - small
US AIRWAYS*,FOKKER F28 MK 4000,BALTIMORE WASH INTL,0,0,0,None,5/21/93 0:00,Maryland,130.0,Take-off run,Day,Small,Unknown bird - small
UPS AIRLINES,DC-8,LOUISVILLE INTL ARPT,0,0,0,None,5/22/93 0:00,Kentucky,145.0,Approach,Day,Small,Unknown bird - small
DELTA AIR LINES,B-727,KANSAS CITY INTL,0,0,0,None,5/24/93 0:00,Missouri,125.0,Approach,Day,Medium,Unknown bird - medium
SOUTHWEST AIRLINES,B-737-500,HOUSTON-HOBBY,0,0,0,None,5/24/93 0:00,Texas,200.0,Approach,Day,Small,Unknown bird - small
SOUTHWEST AIRLINES,B-737-200,WILL ROGERS WORLD ARPT,0,0,0,None,5/24/93 0:00,Oklahoma,140.0,Climb,Night,Small,Unknown bird - small
AMERICAN AIRLINES,B-727,NASHVILLE INTL,0,0,0,None,5/25/93 0:00,Tennessee,100.0,Take-off run,Night,Large,Unknown bird - large
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,5/25/93 0:00,Louisiana,150.0,Take-off run,Night,Medium,Unknown bird or bat
BUSINESS,C-208,EPPLEY AIRFIELD,0,0,0,None,5/25/93 0:00,Nebraska,,Approach,Day,Small,Unknown bird - small
AMERICAN AIRLINES,FOKKER F100,CHICAGO O'HARE INTL ARPT,0,0,0,None,5/25/93 0:00,Illinois,120.0,Landing Roll,Day,Small,Meadowlarks
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,5/26/93 0:00,Louisiana,180.0,Approach,Day,Medium,Unknown bird or bat
DELTA AIR LINES,B-727,SALT LAKE CITY INTL,0,0,0,None,5/26/93 0:00,Utah,140.0,Take-off run,Day,Small,Unknown bird - small
AMERICAN AIRLINES,DC-10,DALLAS/FORT WORTH INTL ARPT,0,0,0,None,5/27/93 0:00,Texas,,Take-off run,Day,Medium,Unknown bird - medium
AMERICAN AIRLINES,FOKKER F100,CHICAGO O'HARE INTL ARPT,0,0,0,None,5/27/93 0:00,Illinois,130.0,Approach,Day,Small,European starling
SOUTHWEST AIRLINES,B-737-200,CHICAGO MIDWAY INTL ARPT,0,0,0,None,5/29/93 0:00,Illinois,250.0,Approach,Day,Small,Unknown bird - small
AMERICAN AIRLINES,MD-80,DALLAS/FORT WORTH INTL ARPT,0,0,0,None,5/29/93 0:00,Texas,180.0,Approach,Day,Small,Unknown bird - small
US AIRWAYS*,DC-9,GREATER PITTSBURGH,0,0,0,Minor,5/30/93 0:00,Pennsylvania,,Landing Roll,Night,Large,White-tailed deer
PRIVATELY OWNED,C-182 SKYLAN,MINETA SAN JOSE INTL,0,0,0,None,5/31/93 0:00,California,65.0,Approach,Day,Medium,Unknown bird - medium
UNITED AIRLINES,B-737,CHICAGO O'HARE INTL ARPT,0,0,0,None,5/31/93 0:00,Illinois,,Landing Roll,Day,Medium,Unknown bird - medium
AMERICAN AIRLINES,DC-10-10,DALLAS/FORT WORTH INTL ARPT,0,0,0,None,6/1/93 0:00,Texas,150.0,Climb,Day,Medium,Unknown bird - medium
SOUTHWEST AIRLINES,B-737-200,NEW ORLEANS INTL,0,0,0,Minor,6/1/93 0:00,Louisiana,140.0,Approach,Day,Small,Unknown bird - small
AMERICAN AIRLINES,MD-83,CHICAGO O'HARE INTL ARPT,0,0,0,None,6/1/93 0:00,Illinois,250.0,Climb,Day,Small,Unknown bird - small
UNITED AIRLINES,B-737,EPPLEY AIRFIELD,0,0,0,None,6/1/93 0:00,Nebraska,100.0,Take-off run,Day,Small,Unknown bird - small
AMERICAN AIRLINES,B-757-200,DALLAS/FORT WORTH INTL ARPT,0,0,0,None,6/3/93 0:00,Texas,250.0,Approach,Day,Small,Unknown bird - small
US AIRWAYS*,DC-9,GREATER PITTSBURGH,0,0,0,None,6/3/93 0:00,Pennsylvania,,Landing Roll,Day,Small,Unknown bird - small
UNITED AIRLINES,B-727,KANSAS CITY INTL,0,0,0,None,6/5/93 0:00,Missouri,127.0,Landing Roll,Night,Medium,Unknown bird - medium
SOUTHWEST AIRLINES,B-737-200,INDIANAPOLIS INTL,0,0,0,None,6/5/93 0:00,Indiana,160.0,Climb,Day,Small,Unknown bird - small
DELTA AIR LINES,A-310,JOHN F KENNEDY INTL,0,0,0,None,6/6/93 0:00,New York,,Approach,Day,Small,Rock pigeon
AMERICAN AIRLINES,MD-80,PORTLAND INTL (OR),0,0,0,None,6/6/93 0:00,Oregon,,Approach,Day,Small,Unknown bird - small
AMERICAN AIRLINES,B-767,JOHN F KENNEDY INTL,0,0,0,None,6/8/93 0:00,New York,,Approach,Day,Medium,Unknown bird - medium
MILITARY,C-130E,DALLAS/FORT WORTH INTL ARPT,0,0,0,None,6/8/93 0:00,Texas,95.0,Climb,Day,Medium,Unknown bird - medium
SOUTHWEST AIRLINES,B-737-300,LOUISVILLE INTL ARPT,0,0,0,None,6/9/93 0:00,Kentucky,100.0,Landing Roll,Night,Medium,Unknown bird - medium
AIR WISCONSIN AIRLINES,BA-ATP,CHICAGO O'HARE INTL ARPT,0,0,0,None,6/10/93 0:00,Illinois,120.0,Take-off run,Day,Medium,Unknown bird - medium
MILITARY,KC-10A,BARKSDALE AIR FORCE BASE ARPT,0,0,0,None,6/14/93 0:00,Louisiana,170.0,Climb,Night,Medium,Unknown bird or bat
AMERICAN AIRLINES,MD-80,SAN ANTONIO INTL,0,0,0,None,6/14/93 0:00,Texas,170.0,Approach,Night,Small,Unknown bird - small
US AIRWAYS*,B-757-200,DETROIT METRO WAYNE COUNTY ARPT,0,0,0,None,6/15/93 0:00,Michigan,,Landing Roll,Day,Large,White-tailed deer
AMERICAN AIRLINES,FOKKER F100,CLEVELAND-HOPKINS INTL ARPT,0,0,0,None,6/15/93 0:00,Ohio,200.0,Climb,Day,Medium,Unknown bird - medium
